metric,test_run,official_value,reproduced_value,abs_error,tolerance,parity_status,source_file,source_function
collision_boolean,simple_3_idx0_s1r0,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
path_length,simple_3_idx0_s1r0,"[1.017256498336792,1.1057220697402954,0.9858580827713013]","[1.017256498336792,1.1057220697402954,0.9858580827713013]",0.0,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_path_length_from_pos
average_acceleration,simple_3_idx0_s1r0,"[0.015329647809267044,0.01659112051129341,0.015746938064694405]","[0.015329649671912193,0.01659112051129341,0.015746938064694405]",1.862645149230957e-09,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_average_acceleration_from_pos_vel
collision_boolean,simple_6_idx0_20260808T202207,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
path_length,simple_6_idx0_20260808T202207,"[1.6424530744552612,1.3443424701690674,1.2522969245910645,1.201754093170166,1.5850272178649902,1.461600422859192]","[1.642452597618103,1.3443427085876465,1.2522966861724854,1.201754093170166,1.5850272178649902,1.4616001844406128]",4.76837158203125e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_path_length_from_pos
average_acceleration,simple_6_idx0_20260808T202207,"[0.9878467917442322,0.5659782290458679,0.5770804286003113,0.535511314868927,0.6312555074691772,0.7691163420677185]","[0.9878466725349426,0.5659781098365784,0.5770805478096008,0.5355114340782166,0.6312553882598877,0.7691162824630737]",1.1920928955078125e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_average_acceleration_from_pos_vel
collision_boolean,simple_9_idx0_20260808T202601,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
path_length,simple_9_idx0_20260808T202601,"[1.6920353174209595,2.02030086517334,2.324136734008789,2.7953360080718994,1.7872045040130615,2.5884461402893066,1.8719775676727295,2.363384962081909,1.8827226161956787]","[1.6920353174209595,2.020301103591919,2.324136734008789,2.7953360080718994,1.787204623222351,2.5884459018707275,1.871977686882019,2.363384962081909,1.8827226161956787]",2.384185791015625e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_path_length_from_pos
average_acceleration,simple_9_idx0_20260808T202601,"[0.9304083585739136,0.8280153870582581,0.9220988154411316,1.1081345081329346,0.9083024859428406,1.0620921850204468,0.9044337868690491,1.0647543668746948,0.9197043776512146]","[0.930408239364624,0.8280152678489685,0.9220988750457764,1.1081345081329346,0.908302366733551,1.0620920658111572,0.9044338464736938,1.0647542476654053,0.9197043776512146]",1.1920928955078125e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_average_acceleration_from_pos_vel
collision_boolean,dense_3_idx0_20260808T203635,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
path_length,dense_3_idx0_20260808T203635,"[0.9283243417739868,0.9935168027877808,1.0115129947662354]","[0.9283243417739868,0.9935165047645569,1.0115128755569458]",2.980232238769531e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_path_length_from_pos
average_acceleration,dense_3_idx0_20260808T203635,"[0.01493612676858902,0.015453336760401726,0.015961619094014168]","[0.014936125837266445,0.015453338623046875,0.015961619094014168]",1.862645149230957e-09,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_average_acceleration_from_pos_vel
collision_boolean,dense_6_idx0_20260808T213837_retry,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
path_length,dense_6_idx0_20260808T213837_retry,"[1.6465389728546143,1.9884968996047974,1.6046229600906372,1.6382337808609009,1.5321464538574219,2.1014771461486816]","[1.6465388536453247,1.988497018814087,1.6046231985092163,1.6382336616516113,1.5321464538574219,2.1014771461486816]",2.384185791015625e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_path_length_from_pos
average_acceleration,dense_6_idx0_20260808T213837_retry,"[1.0824077129364014,0.7388832569122314,0.6966283917427063,0.6444652676582336,0.6697394251823425,0.9262416958808899]","[1.0824077129364014,0.7388831377029419,0.6966283917427063,0.6444652676582336,0.6697393655776978,0.9262416362762451]",1.1920928955078125e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_average_acceleration_from_pos_vel
collision_boolean,dense_9_idx0_20260808T215011_retry,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
path_length,dense_9_idx0_20260808T215011_retry,"[1.8041937351226807,1.8242032527923584,2.429586887359619,2.7029366493225098,2.1619741916656494,2.289843797683716,2.5983810424804688,2.4031002521514893,2.194986343383789]","[1.8041939735412598,1.824203372001648,2.4295878410339355,2.7029364109039307,2.1619739532470703,2.289843797683716,2.598381280899048,2.4031002521514893,2.194986343383789]",9.5367431640625e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_path_length_from_pos
average_acceleration,dense_9_idx0_20260808T215011_retry,"[1.0104330778121948,0.8025919198989868,0.8780542612075806,1.1337475776672363,0.906143307685852,1.0564749240875244,0.9219827055931091,1.0813430547714233,0.9309809803962708]","[1.0104331970214844,0.8025920391082764,0.8780542612075806,1.1337476968765259,0.9061432480812073,1.0564749240875244,0.9219825863838196,1.0813430547714233,0.9309810996055603]",1.1920928955078125e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_average_acceleration_from_pos_vel
collision_boolean,connected_room_3_idx0_20260808T210317,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
path_length,connected_room_3_idx0_20260808T210317,"[1.5121270418167114,1.057666301727295,1.5090937614440918]","[1.51212739944458,1.057666301727295,1.5090936422348022]",3.5762786865234375e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_path_length_from_pos
average_acceleration,connected_room_3_idx0_20260808T210317,"[0.02166554145514965,0.019574623554944992,0.022872088477015495]","[0.02166554145514965,0.01957462541759014,0.022872090339660645]",1.862645149230957e-09,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_average_acceleration_from_pos_vel
collision_boolean,connected_room_6_idx0_20260808T210500,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
path_length,connected_room_6_idx0_20260808T210500,"[2.0336079597473145,1.6576930284500122,1.6244275569915771,1.4799723625183105,1.9904985427856445,1.8500027656555176]","[2.0336079597473145,1.6576931476593018,1.6244275569915771,1.4799718856811523,1.9904985427856445,1.8500032424926758]",4.76837158203125e-07,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_path_length_from_pos
average_acceleration,connected_room_6_idx0_20260808T210500,"[0.9933218359947205,0.6628470420837402,0.6154517531394958,0.5988885760307312,0.6884893774986267,0.8165387511253357]","[0.9933218359947205,0.662847101688385,0.6154517531394958,0.5988885164260864,0.6884893774986267,0.8165386915206909]",5.960464477539063e-08,1e-06,PASS,deps/torch_robotics/torch_robotics/trajectory/metrics.py,compute_average_acceleration_from_pos_vel
collision_boolean,connected_room_9_idx0_20260808T211220,true,true,0.0,0.0,PASS,is_collision.py,check_paths_ok
